timestamp,accelerometer,x,y,z,gyro,x,y,z,,,,,,,,,,,
622241.3676,3,-0.305,-0.144,10.068,4,0,0,0,5,-9.599,12.869,-7.292,,,,,,,
622241.4253,3,-0.306,-0.142,10.067,4,0,0,0,,,,,,,,,,,
622241.4829,3,-0.304,-0.146,10.066,4,0,0,0,5,-11.223,13.274,-7.1,,,,,,,
622241.5405,3,-0.306,-0.141,10.068,4,0,0,0,5,-10.451,13.184,-8.569,,,,,,,
622241.5981,3,-0.31,-0.144,10.065,4,0,0,0,5,-10.963,12.66,-7.553,,,,,,,
622241.6557,3,-0.302,-0.144,10.061,4,0,0,0,5,-11.51,13.31,-7.272,,,,,,,
622241.7134,3,-0.311,-0.141,10.066,4,0,0,0,5,-11.079,12.086,-5.62,,,,,,,
622241.771,3,-0.304,-0.144,10.067,4,0,0,0,5,-10.934,13.025,-6.642,,,,,,,
622241.8286,3,-0.304,-0.14,10.065,4,0,0,-0.001,,,,,,,,,,,
622241.8863,3,-0.303,-0.139,10.072,4,0,0,0,5,-7.932,11.678,-4.865,,,,,,,
622241.9439,3,-0.308,-0.139,10.067,4,0,0,0,5,-10.963,13.405,-6.29,,,,,,,
622242.0015,3,-0.303,-0.138,10.061,4,0,0,0,5,-11.945,13.033,-7.408,,,,,,,
622242.0591,3,-0.303,-0.145,10.067,4,0,0,-0.001,5,-10.541,13.507,-6.247,,,,,,,
622242.1168,3,-0.309,-0.144,10.064,4,0,0,0,5,-10.419,12.978,-6.789,,,,,,,
622242.1744,3,-0.297,-0.143,10.066,4,0.001,0,0,5,-10.533,13.21,-7.007,,,,,,,
622242.2321,3,-0.304,-0.143,10.064,4,0,0,0,,,,,,,,,,,
622242.2897,3,-0.309,-0.143,10.067,4,0,0,0,5,-10.831,12.532,-5.983,,,,,,,
622242.3473,3,-0.301,-0.14,10.069,4,0,0,0,5,-10.245,12.187,-6.323,,,,,,,
622242.4049,3,-0.3,-0.14,10.069,4,0,0,0,5,-11.046,13.396,-7.381,,,,,,,
622242.4626,3,-0.308,-0.141,10.069,4,0,0,0,5,-10.608,13.237,-6.992,,,,,,,
622242.5202,3,-0.306,-0.143,10.067,4,0,0,0,5,-11.028,12.956,-7.127,,,,,,,
622242.5778,3,-0.306,-0.14,10.067,4,0,0,0,5,-10.916,12.845,-6.67,,,,,,,
622242.6354,3,-0.309,-0.145,10.068,4,0,0,0,,,,,,,,,,,
622242.693,3,-0.306,-0.137,10.065,4,0,0,0,5,-10.808,12.842,-7.156,,,,,,,
622242.7507,3,-0.305,-0.143,10.069,4,0,0,0,5,-10.332,11.578,-6.071,,,,,,,
622242.8083,3,-0.305,-0.142,10.069,4,0,0,0,5,-10.861,12.967,-7.153,,,,,,,
622242.866,3,-0.305,-0.142,10.066,4,0,0,0,5,-12.299,12.469,-7.539,,,,,,,
622242.9236,3,-0.301,-0.14,10.068,4,0,0,-0.001,5,-11.22,12.566,-7.214,,,,,,,
622242.9812,3,-0.307,-0.143,10.068,4,0,0,0,5,-11.623,12.642,-5.426,,,,,,,
622243.0388,3,-0.309,-0.142,10.075,4,0,0,0,,,,,,,,,,,
622243.0965,3,-0.304,-0.14,10.067,4,0,0,0,5,-11.02,11.926,-8.014,,,,,,,
622243.1541,3,-0.305,-0.14,10.066,4,0,0,0,5,-10.854,13.391,-6.279,,,,,,,
622243.2117,3,-0.308,-0.143,10.065,4,0,0,0,5,-10.1,12.77,-8.084,,,,,,,
622243.2693,3,-0.306,-0.142,10.066,4,0,0,0,5,-10.187,11.469,-5.859,,,,,,,
622243.327,3,-0.302,-0.14,10.067,4,0,0,0,5,-8.577,10.988,-5.733,,,,,,,
622243.3846,3,-0.31,-0.144,10.07,4,0,0,0,5,-10.329,12.204,-5.923,,,,,,,
622243.4423,3,-0.312,-0.143,10.067,4,-0.001,0,0,,,,,,,,,,,
622243.4999,3,-0.309,-0.146,10.064,4,0,0,0,5,-9.81,12.5,-6.833,,,,,,,
622243.5575,3,-0.304,-0.143,10.07,4,0,0,0,5,-9.741,12.334,-7.941,,,,,,,
622243.6151,3,-0.303,-0.141,10.067,4,0,-0.001,0,,,,,,,,,,,
622243.6728,3,-0.303,-0.14,10.069,4,0,0,0,5,-9.897,11.491,-7.114,,,,,,,
622243.7304,3,-0.305,-0.143,10.067,4,0,0,0,5,-11.078,12.444,-6.714,,,,,,,
622243.788,3,-0.301,-0.139,10.069,4,0,0,0,5,-10.866,12.251,-6.85,,,,,,,
622243.8456,3,-0.312,-0.142,10.072,4,0,0,0,,,,,,,,,,,
622243.9033,3,-0.305,-0.139,10.066,4,0,0,0,5,-10.553,12.563,-7.733,,,,,,,
622243.9609,3,-0.307,-0.144,10.07,4,0,0,0,5,-10.663,12.837,-7.127,,,,,,,
622244.0185,3,-0.298,-0.139,10.066,4,0,0,0,,,,,,,,,,,
622244.0762,3,-0.31,-0.143,10.066,4,0,0,0,5,-11.182,12.915,-7.87,,,,,,,
622244.1338,3,-0.302,-0.144,10.066,4,0,0,0,5,-10.149,12.485,-6.715,,,,,,,
622244.1914,3,-0.305,-0.144,10.067,4,0,0,0,5,-9.665,11.209,-6.042,,,,,,,
622244.249,3,-0.304,-0.142,10.063,4,0,0,0,,,,,,,,,,,
622244.3067,3,-0.305,-0.137,10.063,4,0,0,0,5,-10.577,12.486,-5.397,,,,,,,
622244.3643,3,-0.305,-0.138,10.067,4,0,0,0,5,-10.706,13.55,-6.808,,,,,,,
622244.4219,3,-0.305,-0.144,10.064,4,0,0,0,,,,,,,,,,,
622244.4795,3,-0.305,-0.142,10.067,4,0,0,0,5,-9.776,12.769,-7.41,,,,,,,
622244.5372,3,-0.302,-0.144,10.067,4,0,0,0,5,-10.088,12.943,-7.616,,,,,,,
622244.5948,3,-0.309,-0.138,10.068,4,0,0,0,5,-11.42,13.083,-7.196,,,,,,,
622244.6524,3,-0.3,-0.14,10.068,4,0,0,0,,,,,,,,,,,
622244.7101,3,-0.312,-0.142,10.067,4,0,0,0,5,-9.827,11.293,-7.024,,,,,,,
622244.7677,3,-0.305,-0.141,10.066,4,0,0,0,5,-8.879,11.479,-4.776,,,,,,,
622244.8253,3,-0.309,-0.138,10.066,4,0,0,0,,,,,,,,,,,
622244.883,3,-0.303,-0.141,10.062,4,0,0,0,5,-10.695,10.942,-6.944,,,,,,,
622244.9406,3,-0.305,-0.143,10.066,4,0,0,-0.001,5,-10.127,11.693,-6.549,,,,,,,
622244.9982,3,-0.305,-0.143,10.066,4,0,0,0,5,-11.632,12.163,-6.264,,,,,,,
622245.0558,3,-0.305,-0.145,10.068,4,0,0,0,5,-11.771,13.379,-7.736,,,,,,,
622245.1135,3,-0.305,-0.138,10.065,4,0,0,0,5,-11.029,14.232,-8.087,,,,,,,
622245.1711,3,-0.306,-0.144,10.067,4,0,0,0,5,-11.852,12.788,-7.242,,,,,,,
622245.2287,3,-0.305,-0.141,10.063,4,0,0,0,,,,,,,,,,,
622245.2863,3,-0.308,-0.141,10.064,4,0,0,0,5,-10.756,12.521,-5.626,,,,,,,
622245.344,3,-0.303,-0.139,10.063,4,0,0,0,5,-10.509,13.144,-7.011,,,,,,,
622245.4016,3,-0.31,-0.14,10.07,4,0,0,0,5,-11.446,13.121,-8.397,,,,,,,
622245.4593,3,-0.305,-0.14,10.068,4,0,0,0,5,-11.119,12.764,-7.056,,,,,,,
622245.5169,3,-0.309,-0.14,10.063,4,0,0,0,5,-11.407,11.534,-6.401,,,,,,,
622245.5745,3,-0.298,-0.14,10.068,4,0,0,0,5,-9.317,9.662,-4.462,,,,,,,
622245.6321,3,-0.302,-0.144,10.069,4,0,0,0,,,,,,,,,,,
622245.6898,3,-0.312,-0.139,10.067,4,0,0,0,5,-8.368,8.994,-3.674,,,,,,,
622245.7474,3,-0.302,-0.145,10.068,4,0,0,0,5,-9.227,11.749,-3.902,,,,,,,
622245.805,3,-0.306,-0.143,10.064,4,0,0,0,5,-10.583,13.443,-8.136,,,,,,,
622245.8626,3,-0.311,-0.138,10.067,4,0,0,0,5,-10.794,11.755,-6.555,,,,,,,
622245.9203,3,-0.301,-0.14,10.07,4,0,0,0,5,-10.489,12.123,-6.546,,,,,,,
622245.9779,3,-0.305,-0.143,10.065,4,0,0,0,5,-11.386,13.245,-6.619,,,,,,,
622246.0356,3,-0.309,-0.14,10.068,4,0,0,0,,,,,,,,,,,
622246.0932,3,-0.305,-0.14,10.066,4,0.001,0,0,5,-10.837,12.871,-7.533,,,,,,,
622246.1508,3,-0.308,-0.143,10.068,4,0,0,0,5,-10.486,13.338,-7.899,,,,,,,
622246.2084,3,-0.306,-0.14,10.07,4,0,0,0,5,-10.892,13.052,-8.261,,,,,,,
622246.2661,3,-0.3,-0.139,10.066,4,0,0,0,5,-7.993,11.8,-4.286,,,,,,,
622246.3237,3,-0.304,-0.138,10.066,4,0,0,0,5,-9.262,11.925,-5.054,,,,,,,
622246.3813,3,-0.307,-0.144,10.068,4,0,0,0,5,-11.716,13.351,-7.092,,,,,,,
622246.4389,3,-0.3,-0.142,10.065,4,0,0,0,,,,,,,,,,,
622246.4966,3,-0.305,-0.139,10.066,4,0,0,0,5,-9.045,8.913,-1.994,,,,,,,
622246.5542,3,-0.305,-0.142,10.07,4,0,0,0,5,-7.962,9.55,-3.278,,,,,,,
622246.6118,3,-0.305,-0.14,10.066,4,0,0,0,5,-7.925,9.465,-3.754,,,,,,,
622246.6695,3,-0.305,-0.147,10.067,4,0,0,0,5,-10.687,13.304,-6.477,,,,,,,
622246.7271,3,-0.309,-0.14,10.063,4,0,0,0,5,-10.101,12.657,-5.998,,,,,,,
622246.7847,3,-0.305,-0.139,10.062,4,0,0,0,5,-11.136,13.206,-6.551,,,,,,,
622246.8423,3,-0.308,-0.142,10.065,4,0,0,0,,,,,,,,,,,
622246.9,3,-0.308,-0.14,10.066,4,0,0,0,5,-9.715,13,-7.187,,,,,,,
622246.9576,3,-0.309,-0.142,10.067,4,0,0,0,5,-10.588,12.425,-6.534,,,,,,,
622247.0152,3,-0.303,-0.144,10.065,4,0,0,0,,,,,,,,,,,
622247.0728,3,-0.305,-0.142,10.066,4,0,0,0,5,-12.75,12.755,-6.677,,,,,,,
622247.1305,3,-0.301,-0.142,10.067,4,0,0,0,5,-11.028,13.005,-6.854,,,,,,,
622247.1881,3,-0.31,-0.139,10.071,4,0,0,0,5,-9.798,11.801,-6.108,,,,,,,
622247.2457,3,-0.301,-0.143,10.065,4,0,0,0,,,,,,,,,,,
622247.3033,3,-0.305,-0.142,10.069,4,0,0,0,5,-9.705,12.317,-6.256,,,,,,,
622247.361,3,-0.307,-0.137,10.068,4,0,0,0,5,-11.072,11.617,-4.901,,,,,,,
622247.4186,3,-0.307,-0.144,10.07,4,0,0,0,,,,,,,,,,,
622247.4763,3,-0.306,-0.141,10.064,4,0,0,0,5,-10.849,12.373,-6.979,,,,,,,
622247.5339,3,-0.302,-0.14,10.068,4,0,0,0,5,-10.13,12.994,-7.196,,,,,,,
622247.5915,3,-0.305,-0.142,10.069,4,0,0,0,5,-8.746,10.675,-4.643,,,,,,,
622247.6491,3,-0.305,-0.139,10.069,4,0,0,0,,,,,,,,,,,
622247.7068,3,-0.309,-0.143,10.068,4,0,0,0,5,-10.497,11.157,-6.853,,,,,,,
622247.7644,3,-0.307,-0.141,10.066,4,0,0,0,5,-9.282,10.385,-2.962,,,,,,,
622247.822,3,-0.308,-0.142,10.068,4,0,0,0,,,,,,,,,,,
622247.8796,3,-0.304,-0.144,10.066,4,0,0,0,5,-10.922,12.715,-7.651,,,,,,,
622247.9373,3,-0.308,-0.143,10.067,4,0,0,-0.001,5,-10.699,12.299,-6.429,,,,,,,
622247.9949,3,-0.308,-0.141,10.071,4,-0.001,0,0,5,-11.768,12.354,-6.476,,,,,,,
622248.0526,3,-0.305,-0.144,10.066,4,0,0,0,,,,,,,,,,,
622248.1102,3,-0.305,-0.142,10.068,4,0,0,0,5,-10.4,12.657,-7.399,,,,,,,
622248.1678,3,-0.31,-0.14,10.074,4,0,0,0,5,-10.657,12.854,-7.78,,,,,,,
622248.2254,3,-0.306,-0.14,10.071,4,0,0,-0.001,,,,,,,,,,,
622248.283,3,-0.305,-0.137,10.071,4,0,0,0,5,-9.058,11.855,-4.95,,,,,,,
622248.3407,3,-0.306,-0.14,10.069,4,0,0,0,5,-9.744,10.472,-5.42,,,,,,,
622248.3983,3,-0.308,-0.142,10.073,4,0,0,0,5,-10.303,11.786,-7.568,,,,,,,
622248.4559,3,-0.308,-0.144,10.072,4,0,0,0,5,-11.273,12.531,-7.642,,,,,,,
622248.5135,3,-0.309,-0.14,10.069,4,0,0,0,5,-11.235,13.409,-7.14,,,,,,,
622248.5712,3,-0.309,-0.143,10.067,4,0,0,0,5,-11.38,13.113,-6.845,,,,,,,
622248.6288,3,-0.306,-0.142,10.069,4,0,0,0,,,,,,,,,,,
622248.6865,3,-0.307,-0.14,10.068,4,0,0,0,5,-11.179,12.801,-8.101,,,,,,,
622248.7441,3,-0.309,-0.14,10.067,4,0,0,0,5,-10.829,12.595,-6.483,,,,,,,
622248.8017,3,-0.306,-0.14,10.068,4,0,0,0,5,-10.182,12.514,-5.588,,,,,,,
622248.8593,3,-0.306,-0.136,10.068,4,0,0,0,5,-11.659,12.404,-7.341,,,,,,,
622248.917,3,-0.305,-0.138,10.067,4,0,0,0,5,-11.128,12.485,-6.297,,,,,,,
622248.9746,3,-0.3,-0.14,10.067,4,0,0,0,5,-11.511,12.917,-6.602,,,,,,,
622249.0322,3,-0.31,-0.14,10.069,4,0,0,0,,,,,,,,,,,
622249.0898,3,-0.305,-0.141,10.071,4,0,0,0,5,-10.408,12.074,-6.161,,,,,,,
622249.1475,3,-0.308,-0.14,10.069,4,0,0,0,5,-10.101,11.647,-4.298,,,,,,,
622249.2051,3,-0.303,-0.142,10.07,4,0,0,0.001,5,-9.805,10.649,-5.246,,,,,,,
622249.2627,3,-0.308,-0.143,10.073,4,0,0,0,5,-10.416,11.668,-5.597,,,,,,,
622249.3204,3,-0.303,-0.143,10.067,4,0,0,0.001,5,-9.692,12.033,-5.865,,,,,,,
622249.378,3,-0.308,-0.143,10.069,4,0,0.001,0,,,,,,,,,,,
622249.4356,3,-0.306,-0.141,10.067,4,0,0,0,5,-10.678,14.45,-6.679,,,,,,,
622249.4933,3,-0.311,-0.144,10.068,4,0,0,0,5,-10.706,13.542,-6.889,,,,,,,
622249.5509,3,-0.308,-0.14,10.071,4,0,0,0,5,-11.096,13.022,-6.517,,,,,,,
622249.6085,3,-0.309,-0.14,10.071,4,0,0,0,5,-10.995,12.411,-6.68,,,,,,,
622249.6661,3,-0.305,-0.142,10.067,4,0,0,0,5,-11.835,13.152,-6.381,,,,,,,
622249.7238,3,-0.306,-0.139,10.071,4,0,0,0,5,-10.065,11.948,-6.313,,,,,,,
622249.7814,3,-0.305,-0.142,10.071,4,0,0.001,0,5,-9.653,12.556,-6.984,,,,,,,
622249.839,3,-0.307,-0.138,10.07,4,0,0,0,,,,,,,,,,,
622249.8966,3,-0.305,-0.141,10.07,4,0,0,0,5,-11.687,12.146,-6.319,,,,,,,
622249.9543,3,-0.302,-0.139,10.072,4,0,0,0,5,-11.244,11.848,-7.228,,,,,,,
622250.0119,3,-0.31,-0.144,10.067,4,0,0,0,,,,,,,,,,,
622250.0695,3,-0.304,-0.14,10.068,4,0,0,0,5,-11.116,14.034,-6.169,,,,,,,
622250.1272,3,-0.303,-0.14,10.07,4,0,0,-0.001,5,-10.489,13.274,-7.19,,,,,,,
622250.1848,3,-0.303,-0.14,10.069,4,0,0,0,5,-11.476,13.307,-8.379,,,,,,,
622250.2424,3,-0.298,-0.146,10.071,4,0,0,0,,,,,,,,,,,
622250.3,3,-0.313,-0.142,10.075,4,0,0,0,5,-10.565,12.451,-5.15,,,,,,,
622250.3577,3,-0.298,-0.14,10.068,4,0,0,0,5,-9.843,12.727,-6.818,,,,,,,
622250.4153,3,-0.315,-0.144,10.071,4,0,0,0,,,,,,,,,,,
622250.4729,3,-0.301,-0.14,10.077,4,0,0,0,5,-11.673,12.447,-6.384,,,,,,,
622250.5306,3,-0.312,-0.136,10.071,4,0,0,0,5,-10.341,12.674,-6.158,,,,,,,
622250.5882,3,-0.297,-0.14,10.071,4,0,0,0,5,-9.927,12.648,-6.316,,,,,,,
622250.6458,3,-0.311,-0.146,10.068,4,0,0,0,,,,,,,,,,,
622250.7035,3,-0.306,-0.143,10.07,4,0,0,0,5,-9.846,11.351,-5.969,,,,,,,
622250.7611,3,-0.301,-0.137,10.075,4,0,0,0,5,-10.489,12.149,-7.529,,,,,,,
622250.8187,3,-0.313,-0.14,10.073,4,0,0,0,,,,,,,,,,,
622250.8763,3,-0.303,-0.14,10.068,4,0,0,0,5,-11.055,12.485,-6.873,,,,,,,
622250.934,3,-0.314,-0.14,10.072,4,0,0,0,5,-11.087,12.892,-7.147,,,,,,,
622250.9916,3,-0.304,-0.137,10.071,4,0,0,0,5,-11.668,13.751,-7.993,,,,,,,
622251.0492,3,-0.315,-0.144,10.068,4,0,0,0,,,,,,,,,,,
622251.1069,3,-0.301,-0.144,10.063,4,0,0,0,5,-11.198,12.587,-6.068,,,,,,,
622251.1645,3,-0.313,-0.142,10.069,4,0,0,0,5,-11.548,14.304,-6.749,,,,,,,
622251.2221,3,-0.302,-0.142,10.07,4,-0.001,0,0,,,,,,,,,,,
622251.2797,3,-0.308,-0.141,10.07,4,0,0,0,5,-10.214,11.751,-7.103,,,,,,,
622251.3374,3,-0.295,-0.143,10.069,4,0,0,0,5,-9.315,12.036,-7.137,,,,,,,
622251.395,3,-0.315,-0.145,10.068,4,0,0,0,5,-10.712,11.778,-6.645,,,,,,,
622251.4526,3,-0.307,-0.144,10.075,4,0,0,0,,,,,,,,,,,
622251.5103,3,-0.306,-0.143,10.068,4,0,0,0,5,-11.714,12.709,-6.606,,,,,,,
622251.5679,3,-0.306,-0.138,10.069,4,0,0,0,5,-10.681,13.681,-7.44,,,,,,,
622251.6255,3,-0.306,-0.137,10.07,4,0,0,0,,,,,,,,,,,
